,artist_name,track_name,track_id,popularity,url,images,date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
6387,Secret Service,Flash in the Night,5pBr0adLJPIZSUtTCTR7ns,24,https://open.spotify.com/track/5pBr0adLJPIZSUtTCTR7ns,https://i.scdn.co/image/ea804c41a6b69303f3f16fe5fabeb33a66d64166,2000,0.053,0.694,230893,0.804,0.00371,6,0.0851,-7.396,1,0.0461,125.212,4,0.686
6388,Billy Joel,"Summer Highland Falls - Live December 31, 1999 At Madison Square Garden, New York, NY",5vQFTk04Z5BCu7Mgr25zJD,23,https://open.spotify.com/track/5vQFTk04Z5BCu7Mgr25zJD,https://i.scdn.co/image/3a5cea1de1048803ad4bf219ed210ca555abdbe6,2000-05-02,0.314,0.396,329293,0.706,5.21e-06,5,0.941,-8.368,1,0.108,94.009,4,0.366
6389,Big Tymers,We Ain't Stoppin',60FsXVGxF5CkgiC3YWNOR5,20,https://open.spotify.com/track/60FsXVGxF5CkgiC3YWNOR5,https://i.scdn.co/image/ec9138bb3c9fd713b30a2dc310e56813bd3c3317,2000-01-01,0.136,0.758,241693,0.826,0.0,3,0.366,-7.009,1,0.27,87.959,4,0.657
6390,Armando Manzanero,No,60cWkmLK0iyx4QfOJK2c9W,36,https://open.spotify.com/track/60cWkmLK0iyx4QfOJK2c9W,https://i.scdn.co/image/fa5030c9b4a89892a0775452d4611995e35f43f0,2000-11-17,0.755,0.454,193880,0.536,0.0,7,0.106,-4.895,1,0.0284,81.055,4,0.0847
6391,Yulara,Om Namah Shivaya - Instrumental,61BMIgIFrjqrt1z0dGs2TK,23,https://open.spotify.com/track/61BMIgIFrjqrt1z0dGs2TK,https://i.scdn.co/image/1807608221c2fcfdabe1cd554ef66d476d8722c7,2000-01-01,0.0955,0.738,269867,0.788,0.305,5,0.0916,-7.135,0,0.0345,108.032,4,0.471
6392,Armando Palomas,Serenata Pacheca - En Vivo,6EkyrUVM6Yr3qzY4JMXTWb,37,https://open.spotify.com/track/6EkyrUVM6Yr3qzY4JMXTWb,https://i.scdn.co/image/75d170d3bc5aeeb6b4060798467a3bbcb24048c9,2000,0.487,0.582,290453,0.374,0.0,6,0.936,-10.096,1,0.135,112.037,4,0.564
6393,Eagles,Wasted Time - Eagles 2013 Remaster,6LHs737Z4M7nngfsSMqpjt,24,https://open.spotify.com/track/6LHs737Z4M7nngfsSMqpjt,https://i.scdn.co/image/2064a9731469cc9e63e80f658308985c24986f08,2000,0.418,0.431,296172,0.174,9.74e-05,0,0.109,-11.373,1,0.0351,117.563,4,0.144
6394,Thomas Newman,Lunch With The King,6SqjlQniW88SA5rfYrbBev,31,https://open.spotify.com/track/6SqjlQniW88SA5rfYrbBev,https://i.scdn.co/image/b38d71b430dfd35dcd1b785c32613de39e868524,2000-01-01,0.964,0.644,145907,0.309,0.773,9,0.0954,-15.646,1,0.0431,160.964,3,0.414
6395,Point Of Grace,Circle of Friends,6Zi6pCrTJPl61YdllAMTXH,22,https://open.spotify.com/track/6Zi6pCrTJPl61YdllAMTXH,https://i.scdn.co/image/15d054ab148af5c3cc6ad3e6d71aea2d771308cf,2000-05-03,0.398,0.663,252333,0.623,0.000357,3,0.0704,-8.004,1,0.0394,80.016,4,0.76
6396,Bryan Sutton,Walk Among The Woods,6bQkwmWEdX4d49UuOilLWZ,21,https://open.spotify.com/track/6bQkwmWEdX4d49UuOilLWZ,https://i.scdn.co/image/cc4a8e43a9b5deabaa4f59e02c5e7649f430ad92,2000-01-01,0.611,0.382,212960,0.335,0.839,2,0.0954,-11.656,1,0.0298,168.156,4,0.218
6397,Cradle Of Filth,Satanic Mantra,6fluC5dkEtuVSGh53aRl8I,28,https://open.spotify.com/track/6fluC5dkEtuVSGh53aRl8I,https://i.scdn.co/image/0a6c53e90e6aeb716d30ced007d6cc0b700a4c38,2000,0.54,0.757,50760,0.97,0.0,5,0.466,-12.094,0,0.833,72.292,4,0.0597
6398,Ratones Paranoicos,Rock del gato - Vivo,6kH6b7sxXoccjzBikdwCJ3,50,https://open.spotify.com/track/6kH6b7sxXoccjzBikdwCJ3,https://i.scdn.co/image/972c5bb20f92de466aa46953249cd502d39865b5,2000,0.416,0.483,254773,0.967,0.108,9,0.927,-3.467,1,0.0778,118.667,4,0.629
6399,Ramone Julian,Hear See,6oDi4itIHQZ9eKbCUxWxaz,20,https://open.spotify.com/track/6oDi4itIHQZ9eKbCUxWxaz,https://i.scdn.co/image/a021c1e32b6ebe3957778d4dca371dec17326628,2000-01-01,0.000843,0.326,112300,0.737,0.0,5,0.182,-6.569,1,0.0798,84.912,4,0.34
